date,counterparty,matter,clause_topic,position_requested,outcome,approved_by,notes
"September 5, 2022",Halloway Media,MSA,Audit,second annual audit for regulated customers,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"September 5, 2022",Halloway Media,MSA,Warranties,"warranty stretched to 120 days, re-performance only",Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"September 5, 2022",Halloway Media,MSA,Assignment,mutual M&A assignment exception,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"November 19, 2022",Bluepine Logistics,MSA,Limitation of Liability,cap at 18 months plus 3x data super-cap,Approved,Partner - D. Okafor; GC sign-off - R. Castellanos,Deviation from standard form approved for this matter.
"November 19, 2022",Bluepine Logistics,MSA,Term and Renewal,auto-renewal struck; renewal by mutual writing,Approved,Partner - D. Okafor; GC sign-off - R. Castellanos,Deviation from standard form approved for this matter.
"November 19, 2022",Bluepine Logistics,MSA,Intellectual Property,customer ownership of SOW-specific Work Product,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"November 19, 2022",Bluepine Logistics,MSA,Warranties,"warranty stretched to 120 days, re-performance only",Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"November 19, 2022",Bluepine Logistics,MSA,Assignment,mutual M&A assignment exception,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"March 5, 2023",Cardamon Health,MSA,Fees and Payment,45-day payment terms (procurement policy),Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"March 5, 2023",Cardamon Health,MSA,Audit,second annual audit for regulated customers,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"March 5, 2023",Cardamon Health,MSA,Assignment,mutual M&A assignment exception,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"May 5, 2023",Ferrocrest Industries,MSA,Limitation of Liability,removal of the liability cap / uncapped exposure,Rejected - countered at standard position,Partner - D. Okafor,Counterparty requested removal of the liability cap. Signed at our standard position.
"June 5, 2023",Ferrocrest Industries,MSA,Termination,30-day convenience notice with prorated refund,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"August 2, 2023",Talvace Financial,MSA,Term and Renewal,non-renewal notice shortened to 60 days,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"August 2, 2023",Talvace Financial,MSA,Audit,second annual audit for regulated customers,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"December 2, 2023",Brimhall Energy,MSA,Audit,on-demand audit incl. production systems access,Rejected,Partner - D. Okafor,On-demand audit with production systems access requested. Not acceptable in any form.
"January 2, 2024",Brimhall Energy,MSA,Termination,30-day convenience notice with prorated refund,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"January 2, 2024",Brimhall Energy,MSA,Intellectual Property,customer ownership of SOW-specific Work Product,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"January 2, 2024",Brimhall Energy,MSA,Warranties,"warranty stretched to 120 days, re-performance only",Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"September 14, 2024",Southlark Analytics,MSA,Termination,30-day convenience notice with prorated refund,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"September 14, 2024",Southlark Analytics,MSA,Term and Renewal,non-renewal notice shortened to 60 days,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"September 14, 2024",Southlark Analytics,MSA,Intellectual Property,customer ownership of SOW-specific Work Product,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"February 16, 2025",Ostrander Retail Group,MSA,Governing Law,governing law moved to New York,Approved,Partner - D. Okafor; GC sign-off - R. Castellanos,Deviation from standard form approved for this matter.
"February 16, 2025",Ostrander Retail Group,MSA,Limitation of Liability,cap at 18 months plus 3x data super-cap,Approved,Partner - D. Okafor; GC sign-off - R. Castellanos,Deviation from standard form approved for this matter.
"February 16, 2025",Ostrander Retail Group,MSA,Term and Renewal,auto-renewal struck; renewal by mutual writing,Approved,Partner - D. Okafor; GC sign-off - R. Castellanos,Deviation from standard form approved for this matter.
"February 16, 2025",Ostrander Retail Group,MSA,Intellectual Property,customer ownership of SOW-specific Work Product,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"February 16, 2025",Ostrander Retail Group,MSA,Warranties,"warranty stretched to 120 days, re-performance only",Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"March 13, 2025",Veylan Foods,MSA,Pricing Commitments,most-favored-customer pricing commitment,Rejected - engagement declined,Partner - D. Okafor,Most-favored-customer pricing demanded as a signature condition. See partner memo.
